nodes,roots,leaves,edges,mean_predecessors,max_predecessors,min_predecessors,mean_successors,max_successors,min_successors,mean_edges,max_edges,min_edges,n_query_vars,n_query_evidence,experiment,runtime,exception
35,9,10,44,1.2571428571428571,2,0,1.2571428571428571,8,0,2.5142857142857142,8,1,4,18,map_mindeg,0.6266875999999999,
39,10,15,47,1.205128205128205,2,0,1.205128205128205,5,0,2.41025641025641,5,1,4,22,map_mindeg,0.8104138000000001,
32,5,12,46,1.4375,2,0,1.4375,6,0,2.875,6,0,2,20,map_mindeg,2.8710558,
37,7,11,54,1.4594594594594594,2,0,1.4594594594594594,6,0,2.918918918918919,6,1,3,18,map_mindeg,13.3882551,
42,11,15,55,1.3095238095238095,2,0,1.3095238095238095,5,0,2.619047619047619,5,0,4,21,map_mindeg,5.4427847,
34,9,13,43,1.2647058823529411,2,0,1.2647058823529411,7,0,2.5294117647058822,7,1,3,19,map_mindeg,8.6480334,
38,9,13,50,1.3157894736842106,2,0,1.3157894736842106,7,0,2.631578947368421,7,0,4,20,map_mindeg,5.1247826,
40,11,16,45,1.125,2,0,1.125,5,0,2.25,5,1,4,23,map_mindeg,0.2693951999999999,
31,9,12,38,1.2258064516129032,2,0,1.2258064516129032,6,0,2.4516129032258065,6,1,3,18,map_mindeg,0.3914498000000002,
39,9,13,54,1.3846153846153846,2,0,1.3846153846153846,6,0,2.769230769230769,6,1,4,23,map_mindeg,1.9623574,
43,12,16,52,1.2093023255813953,2,0,1.2093023255813953,5,0,2.4186046511627906,5,1,4,21,map_mindeg,0.5743091000000002,
34,8,13,47,1.3823529411764706,2,0,1.3823529411764706,6,0,2.764705882352941,6,1,3,17,map_mindeg,0.8468415999999999,
35,10,13,41,1.1714285714285717,2,0,1.1714285714285717,4,0,2.342857142857143,4,1,4,16,map_mindeg,1.1040676,
33,7,10,48,1.4545454545454546,2,0,1.4545454545454546,6,0,2.909090909090909,6,1,3,19,map_mindeg,1.3761145,
34,9,13,43,1.2647058823529411,2,0,1.2647058823529411,7,0,2.5294117647058822,7,0,2,22,map_mindeg,1.0515987,
42,11,16,50,1.1904761904761905,2,0,1.1904761904761905,4,0,2.380952380952381,4,0,4,24,map_mindeg,0.4996963000000001,
36,9,14,45,1.25,2,0,1.25,5,0,2.5,5,1,4,20,map_mindeg,4.3003178,
35,10,13,41,1.1714285714285717,2,0,1.1714285714285717,4,0,2.342857142857143,4,0,4,23,map_mindeg,0.3996132000000001,
38,11,12,49,1.2894736842105263,2,0,1.2894736842105263,6,0,2.5789473684210527,6,1,4,24,map_mindeg,24.1700227,
39,7,12,53,1.358974358974359,2,0,1.358974358974359,6,0,2.717948717948718,6,1,3,22,map_mindeg,1.4574786999999998,
40,7,15,55,1.375,2,0,1.375,7,0,2.75,7,1,3,21,map_mindeg,0.7087206000000004,
39,11,16,50,1.2820512820512822,2,0,1.2820512820512822,5,0,2.5641025641025643,5,0,3,23,map_mindeg,0.9713066,
28,9,12,29,1.0357142857142858,2,0,1.0357142857142858,4,0,2.071428571428572,4,1,3,14,map_mindeg,0.1750351999999999,
32,7,10,43,1.34375,2,0,1.34375,5,0,2.6875,5,0,3,15,map_mindeg,1.1631633,
35,6,12,48,1.3714285714285714,2,0,1.3714285714285714,7,0,2.742857142857143,7,1,3,22,map_mindeg,1.3827651,
41,9,13,54,1.3170731707317074,2,0,1.3170731707317074,4,0,2.6341463414634148,4,1,4,23,map_mindeg,1.3456566,
34,9,13,44,1.2941176470588236,2,0,1.2941176470588236,6,0,2.588235294117647,6,0,2,22,map_mindeg,0.9393596999999998,
33,8,11,42,1.2727272727272727,2,0,1.2727272727272727,5,0,2.5454545454545454,5,1,3,20,map_mindeg,0.9964092,
30,6,10,41,1.3666666666666667,2,0,1.3666666666666667,7,0,2.7333333333333334,7,1,3,18,map_mindeg,0.3867289999999999,
31,6,11,45,1.4516129032258065,2,0,1.4516129032258065,6,0,2.903225806451613,6,0,3,18,map_mindeg,0.6565361999999997,
36,5,14,55,1.5277777777777777,2,0,1.5277777777777777,7,0,3.055555555555556,7,1,3,17,map_mindeg,5.698032899999999,
35,10,14,43,1.2285714285714286,2,0,1.2285714285714286,5,0,2.4571428571428573,5,1,4,18,map_mindeg,6.5110079,
43,9,17,53,1.2325581395348837,2,0,1.2325581395348837,6,0,2.4651162790697674,6,1,4,23,map_mindeg,1.095834,
37,7,12,51,1.3783783783783785,2,0,1.3783783783783785,7,0,2.756756756756757,7,1,4,24,map_mindeg,1.3868050000000005,
32,7,12,42,1.3125,2,0,1.3125,6,0,2.625,6,1,3,18,map_mindeg,11.6275565,
43,7,13,62,1.441860465116279,2,0,1.441860465116279,7,0,2.883720930232558,7,1,4,20,map_mindeg,2.2433647000000003,
35,10,10,44,1.2571428571428571,2,0,1.2571428571428571,6,0,2.5142857142857142,6,1,4,19,map_mindeg,0.7759338000000002,
36,8,15,46,1.2777777777777777,2,0,1.2777777777777777,7,0,2.555555555555556,7,1,4,20,map_mindeg,0.5035718,
38,5,14,54,1.4210526315789471,2,0,1.4210526315789471,7,0,2.8421052631578947,7,0,4,22,map_mindeg,4.0021773,
43,11,17,53,1.2325581395348837,2,0,1.2325581395348837,5,0,2.4651162790697674,5,1,4,24,map_mindeg,7.9112344,
42,10,15,55,1.3095238095238095,2,0,1.3095238095238095,7,0,2.619047619047619,7,0,4,21,map_mindeg,1.6485897,
35,7,6,48,1.3714285714285714,2,0,1.3714285714285714,6,0,2.742857142857143,6,0,4,18,map_mindeg,3.4746628000000004,
33,4,13,47,1.4242424242424243,2,0,1.4242424242424243,6,0,2.8484848484848486,6,1,3,19,map_mindeg,4.908709099999999,
43,11,11,57,1.3255813953488371,2,0,1.3255813953488371,5,0,2.6511627906976742,5,0,4,22,map_mindeg,4.5183401000000005,
41,5,14,59,1.4390243902439024,2,0,1.4390243902439024,6,0,2.8780487804878048,6,1,4,23,map_mindeg,2.3287899,
33,8,11,41,1.2424242424242424,2,0,1.2424242424242424,6,0,2.484848484848485,6,1,2,19,map_mindeg,0.5315603999999996,
44,9,15,60,1.3636363636363635,2,0,1.3636363636363635,5,0,2.727272727272727,5,1,4,27,map_mindeg,26.1464687,
34,9,13,44,1.2941176470588236,2,0,1.2941176470588236,7,0,2.588235294117647,7,1,3,18,map_mindeg,0.9273614,
42,12,15,54,1.2857142857142858,2,0,1.2857142857142858,6,0,2.571428571428572,6,1,4,24,map_mindeg,1.5890166,
40,6,15,59,1.475,2,0,1.475,7,0,2.95,7,1,4,24,map_mindeg,30.9538981,
29,3,10,42,1.4482758620689655,2,0,1.4482758620689655,6,0,2.896551724137931,6,1,3,15,map_mindeg,1.3063323000000002,
41,9,19,56,1.3658536585365857,2,0,1.3658536585365857,6,0,2.731707317073171,6,1,3,21,map_mindeg,1.9518639,
31,6,10,42,1.3548387096774193,2,0,1.3548387096774193,5,0,2.7096774193548385,5,1,3,19,map_mindeg,1.1028954,
42,8,16,55,1.3095238095238095,2,0,1.3095238095238095,5,0,2.619047619047619,5,1,3,26,map_mindeg,1.5592753,
30,6,9,39,1.3,2,0,1.3,6,0,2.6,6,1,3,19,map_mindeg,2.4687694,
39,8,10,52,1.3333333333333333,2,0,1.3333333333333333,6,0,2.6666666666666665,6,1,4,25,map_mindeg,4.019008299999999,
31,4,15,43,1.3870967741935485,2,0,1.3870967741935485,7,0,2.774193548387097,7,1,3,18,map_mindeg,2.2998158,
33,7,13,48,1.4545454545454546,2,0,1.4545454545454546,8,0,2.909090909090909,8,0,3,18,map_mindeg,1.9845509,
33,4,13,45,1.3636363636363635,2,0,1.3636363636363635,6,0,2.727272727272727,6,1,3,17,map_mindeg,0.4385856000000001,
30,7,12,39,1.3,2,0,1.3,8,0,2.6,8,1,3,17,map_mindeg,1.3028836,
37,8,13,48,1.2972972972972974,2,0,1.2972972972972974,6,0,2.5945945945945947,6,1,4,22,map_mindeg,6.2487564,
30,6,7,42,1.4,2,0,1.4,5,0,2.8,5,1,3,14,map_mindeg,0.7083149999999998,
36,9,10,45,1.25,2,0,1.25,4,0,2.5,4,1,3,20,map_mindeg,3.9187106,
32,6,13,42,1.3125,2,0,1.3125,5,0,2.625,5,1,3,15,map_mindeg,0.7265446000000004,
34,7,12,47,1.3823529411764706,2,0,1.3823529411764706,6,0,2.764705882352941,6,0,3,20,map_mindeg,0.3609142000000003,
43,7,17,60,1.3953488372093024,2,0,1.3953488372093024,6,0,2.7906976744186047,6,1,3,22,map_mindeg,0.8855637999999999,
39,10,17,50,1.2820512820512822,2,0,1.2820512820512822,6,0,2.5641025641025643,6,1,4,23,map_mindeg,8.972843300000001,
34,7,10,49,1.4411764705882353,2,0,1.4411764705882353,6,0,2.8823529411764706,6,1,3,16,map_mindeg,0.6873468999999996,
39,8,17,52,1.3333333333333333,2,0,1.3333333333333333,6,0,2.6666666666666665,6,1,4,23,map_mindeg,7.8303136,
44,11,18,57,1.2954545454545454,2,0,1.2954545454545454,5,0,2.590909090909091,5,1,3,25,map_mindeg,1.2928944000000002,
29,7,12,36,1.2413793103448276,2,0,1.2413793103448276,5,0,2.4827586206896552,5,1,3,17,map_mindeg,0.3148963999999998,
43,11,16,54,1.255813953488372,2,0,1.255813953488372,7,0,2.511627906976744,7,0,3,23,map_mindeg,2.4364840999999995,
37,12,10,46,1.2432432432432432,2,0,1.2432432432432432,5,0,2.4864864864864864,5,1,4,21,map_mindeg,4.566447500000001,
42,12,14,52,1.238095238095238,2,0,1.238095238095238,5,0,2.4761904761904763,5,0,4,25,map_mindeg,0.6126399999999999,
31,4,9,46,1.4838709677419355,2,0,1.4838709677419355,7,0,2.967741935483871,7,1,2,21,map_mindeg,0.6514570000000002,
41,12,13,49,1.195121951219512,2,0,1.195121951219512,5,0,2.3902439024390243,5,0,4,21,map_mindeg,1.0254719,
41,11,14,52,1.2682926829268293,2,0,1.2682926829268293,7,0,2.5365853658536586,7,0,4,18,map_mindeg,0.4598357000000002,
29,6,10,39,1.3448275862068966,2,0,1.3448275862068966,6,0,2.689655172413793,6,1,2,16,map_mindeg,0.4701004000000002,
