nodes,roots,leaves,edges,mean_predecessors,max_predecessors,min_predecessors,mean_successors,max_successors,min_successors,mean_edges,max_edges,min_edges,n_query_vars,n_query_evidence,experiment,runtime,exception
20,4,5,32,1.6,3,0,1.6,6,0,3.2,6,1,1,1,join,0.0380756999999998,
29,3,8,55,1.896551724137931,3,0,1.896551724137931,8,0,3.793103448275862,8,2,2,3,join,0.5044005999999999,
13,2,4,20,1.5384615384615383,3,0,1.5384615384615383,6,0,3.076923076923077,6,1,1,1,join,0.0159491999999996,
30,4,7,50,1.6666666666666667,3,0,1.6666666666666667,6,0,3.333333333333333,6,1,3,5,join,12.3178509,
23,4,6,42,1.826086956521739,3,0,1.826086956521739,6,0,3.652173913043478,6,1,2,1,join,0.0273691,
28,7,9,47,1.6785714285714286,3,0,1.6785714285714286,8,0,3.357142857142857,8,1,2,1,join,0.0196015000000002,
18,3,4,31,1.7222222222222223,3,0,1.7222222222222223,5,0,3.4444444444444446,5,2,1,4,join,0.0545917,
23,4,6,42,1.826086956521739,3,0,1.826086956521739,7,0,3.652173913043478,7,1,1,4,join,0.0502213,
29,5,8,47,1.6206896551724137,3,0,1.6206896551724137,7,0,3.2413793103448274,7,1,2,5,join,1.3895758000000002,
11,3,2,19,1.7272727272727273,3,0,1.7272727272727273,6,0,3.4545454545454546,6,1,1,1,join,0.0272415999999999,
31,11,8,49,1.5806451612903225,3,0,1.5806451612903225,8,0,3.161290322580645,8,1,2,1,join,0.0151197,
8,1,4,14,1.75,3,0,1.75,5,0,3.5,5,1,1,1,join,0.0142324,
28,6,9,46,1.6428571428571428,3,0,1.6428571428571428,6,0,3.2857142857142856,6,1,1,1,join,0.0138259,
33,10,13,51,1.5454545454545454,3,0,1.5454545454545454,6,0,3.090909090909091,6,1,2,1,join,0.0242172000000002,
29,9,7,47,1.6206896551724137,3,0,1.6206896551724137,5,0,3.2413793103448274,5,1,2,5,join,0.0417710000000002,
9,1,2,14,1.5555555555555556,3,0,1.5555555555555556,5,0,3.111111111111111,5,2,1,2,join,0.0203899,
4,2,1,4,1.0,2,0,1.0,3,0,2.0,3,1,1,1,join,0.0173005000000001,
27,6,6,45,1.6666666666666667,3,0,1.6666666666666667,6,0,3.333333333333333,6,1,2,1,join,0.0555811999999997,
17,5,5,22,1.2941176470588236,3,0,1.2941176470588236,6,0,2.588235294117647,6,1,1,5,join,0.0347555000000001,
33,8,7,55,1.6666666666666667,3,0,1.6666666666666667,6,0,3.333333333333333,6,1,2,1,join,0.0155338,
23,7,10,35,1.5217391304347827,3,0,1.5217391304347827,6,0,3.0434782608695654,6,1,1,2,join,0.0366916999999999,
7,1,3,11,1.5714285714285714,3,0,1.5714285714285714,4,0,3.142857142857143,4,2,1,1,join,0.0192675000000002,
25,5,6,51,2.04,3,0,2.04,7,0,4.08,7,1,2,4,join,1.6617628999999998,
16,5,3,28,1.75,3,0,1.75,6,0,3.5,6,1,1,3,join,0.1069490000000001,
19,5,3,31,1.631578947368421,3,0,1.631578947368421,5,0,3.263157894736842,5,1,1,2,join,0.0250076999999997,
18,4,6,30,1.6666666666666667,3,0,1.6666666666666667,5,0,3.333333333333333,5,1,1,3,join,0.0321965000000004,
12,4,4,13,1.0833333333333333,3,0,1.0833333333333333,4,0,2.1666666666666665,4,1,1,3,join,0.0159511000000001,
17,3,5,29,1.7058823529411764,3,0,1.7058823529411764,6,0,3.411764705882353,6,1,1,5,join,0.0474238000000002,
28,6,6,51,1.8214285714285716,3,0,1.8214285714285716,6,0,3.642857142857143,6,1,1,4,join,0.7526556000000002,
35,6,10,62,1.7714285714285714,3,0,1.7714285714285714,8,0,3.5428571428571427,8,1,1,4,join,0.2237629999999999,
5,1,1,6,1.2,2,0,1.2,3,0,2.4,3,2,1,1,join,0.0188755999999998,
23,4,7,34,1.4782608695652173,3,0,1.4782608695652173,5,0,2.9565217391304346,5,1,1,5,join,0.0481871999999996,
19,5,7,30,1.5789473684210529,3,0,1.5789473684210529,6,0,3.1578947368421053,6,1,1,4,join,0.0450463,
27,5,6,47,1.7407407407407407,3,0,1.7407407407407407,6,0,3.4814814814814814,6,2,2,4,join,0.2034637999999997,
3,1,2,2,0.6666666666666666,1,0,0.6666666666666666,2,0,1.3333333333333333,2,1,1,1,join,0.0087945,
5,1,1,8,1.6,3,0,1.6,4,0,3.2,4,2,1,1,join,0.0178314999999997,
31,6,8,55,1.7741935483870968,3,0,1.7741935483870968,8,0,3.548387096774193,8,1,1,3,join,0.9749921,
23,5,5,40,1.7391304347826086,3,0,1.7391304347826086,6,0,3.4782608695652173,6,2,1,3,join,0.0384177000000001,
7,2,2,11,1.5714285714285714,3,0,1.5714285714285714,5,0,3.142857142857143,5,2,1,1,join,0.0240394999999997,
21,5,9,31,1.4761904761904765,3,0,1.4761904761904765,7,0,2.952380952380953,7,1,1,1,join,0.0190183999999997,
28,8,8,47,1.6785714285714286,3,0,1.6785714285714286,7,0,3.357142857142857,7,1,1,1,join,0.0678809999999998,
5,2,1,7,1.4,3,0,1.4,4,0,2.8,4,2,1,1,join,0.0193748,
26,6,9,39,1.5,3,0,1.5,6,0,3.0,6,1,1,3,join,0.0460837,
30,6,12,43,1.4333333333333331,3,0,1.4333333333333331,7,0,2.8666666666666667,7,1,2,1,join,0.0316849000000001,
12,3,4,18,1.5,3,0,1.5,8,0,3.0,8,1,1,1,join,0.0223862999999999,
12,3,2,15,1.25,3,0,1.25,4,0,2.5,4,1,1,3,join,0.017821,
22,4,7,41,1.8636363636363635,3,0,1.8636363636363635,8,0,3.727272727272727,8,1,2,1,join,0.0195634999999998,
3,1,1,3,1.0,2,0,1.0,2,0,2.0,2,2,1,1,join,0.0151711999999997,
24,3,4,45,1.875,3,0,1.875,6,0,3.75,6,1,2,3,join,9.9851891,
19,5,5,32,1.6842105263157894,3,0,1.6842105263157894,6,0,3.3684210526315788,6,2,1,3,join,0.0394629999999995,
31,8,8,44,1.4193548387096775,3,0,1.4193548387096775,6,0,2.838709677419355,6,1,2,2,join,0.0384164,
14,5,4,19,1.3571428571428572,3,0,1.3571428571428572,5,0,2.7142857142857144,5,1,1,2,join,0.0143263,
35,10,11,54,1.542857142857143,3,0,1.542857142857143,6,0,3.085714285714286,6,1,2,1,join,0.0246634999999999,
26,8,6,42,1.6153846153846154,3,0,1.6153846153846154,6,0,3.230769230769231,6,1,1,5,join,0.0337136999999998,
