nodes,roots,leaves,edges,mean_predecessors,max_predecessors,min_predecessors,mean_successors,max_successors,min_successors,mean_edges,max_edges,min_edges,experiment,runtime
159,34,47,214,1.3459119496855343,2,0,1.3459119496855343,7,0,2.691823899371069,7,0,order_random,0.0185310999999996
185,44,77,234,1.2648648648648648,2,0,1.2648648648648648,6,0,2.5297297297297296,6,0,order_random,0.0217223000000004
217,42,87,289,1.3317972350230414,2,0,1.3317972350230414,7,0,2.6635944700460827,7,1,order_random,0.0282853999999996
217,56,70,277,1.2764976958525345,2,0,1.2764976958525345,7,0,2.552995391705069,7,1,order_random,0.0363410000000001
73,17,25,96,1.3150684931506849,2,0,1.3150684931506849,6,0,2.6301369863013697,6,1,order_random,0.0072837000000003
261,51,94,365,1.3984674329501916,2,0,1.3984674329501916,8,0,2.796934865900383,8,0,order_random,0.0397794999999998
327,76,111,432,1.3211009174311927,2,0,1.3211009174311927,7,0,2.642201834862385,7,0,order_random,0.0578377999999997
277,65,99,364,1.3140794223826715,2,0,1.3140794223826715,7,0,2.628158844765343,7,0,order_random,0.0413339999999999
227,53,95,294,1.2951541850220265,2,0,1.2951541850220265,9,0,2.590308370044053,9,0,order_random,0.0304744000000001
421,94,159,567,1.346793349168646,2,0,1.346793349168646,9,0,2.6935866983372923,9,0,order_random,0.1166522000000007
225,51,80,298,1.3244444444444443,2,0,1.3244444444444443,8,0,2.648888888888889,8,0,order_random,0.0320479000000002
297,81,104,362,1.2188552188552189,2,0,1.2188552188552189,7,0,2.4377104377104377,7,0,order_random,0.0516816000000002
85,22,33,104,1.223529411764706,2,0,1.223529411764706,6,0,2.447058823529412,6,0,order_random,0.0064184000000002
196,46,70,248,1.2653061224489797,2,0,1.2653061224489797,7,0,2.5306122448979598,7,0,order_random,0.0235736000000006
258,70,101,329,1.2751937984496124,2,0,1.2751937984496124,6,0,2.550387596899225,6,0,order_random,0.0404569999999999
33,8,13,43,1.303030303030303,2,0,1.303030303030303,7,0,2.606060606060606,7,0,order_random,0.0022441999999998
5,1,1,7,1.4,2,0,1.4,4,0,2.8,4,2,order_random,0.0003124999999997
295,66,113,390,1.3220338983050848,2,0,1.3220338983050848,8,0,2.6440677966101696,8,0,order_random,0.0481932
349,82,128,455,1.3037249283667622,2,0,1.3037249283667622,9,0,2.6074498567335245,9,0,order_random,0.0740687000000006
238,51,86,315,1.3235294117647058,2,0,1.3235294117647058,7,0,2.647058823529412,7,0,order_random,0.0373738999999995
59,17,17,70,1.1864406779661016,2,0,1.1864406779661016,4,0,2.3728813559322037,4,1,order_random,0.0047443999999998
333,75,121,437,1.3123123123123124,2,0,1.3123123123123124,9,0,2.6246246246246248,9,0,order_random,0.0721879000000003
492,93,180,678,1.3780487804878048,2,0,1.3780487804878048,9,0,2.756097560975609,9,0,order_random,0.1614712000000002
297,72,104,383,1.2895622895622896,2,0,1.2895622895622896,8,0,2.579124579124579,8,0,order_random,0.0600709000000003
410,92,143,533,1.3,2,0,1.3,8,0,2.6,8,0,order_random,0.1154693
386,94,139,496,1.2849740932642486,2,0,1.2849740932642486,8,0,2.569948186528497,8,0,order_random,0.0877863000000003
112,16,36,153,1.3660714285714286,2,0,1.3660714285714286,7,0,2.732142857142857,7,0,order_random,0.0114083000000002
234,52,85,314,1.3418803418803418,2,0,1.3418803418803418,8,0,2.683760683760684,8,0,order_random,0.0372310999999996
333,73,109,451,1.3543543543543544,2,0,1.3543543543543544,8,0,2.7087087087087087,8,0,order_random,0.0729872
287,67,104,377,1.313588850174216,2,0,1.313588850174216,8,0,2.627177700348432,8,0,order_random,0.0565952000000002
266,59,102,343,1.2894736842105263,2,0,1.2894736842105263,7,0,2.5789473684210527,7,0,order_random,0.0453308999999997
113,22,40,160,1.415929203539823,2,0,1.415929203539823,8,0,2.831858407079646,8,1,order_random,0.0121199999999994
473,108,162,620,1.3107822410147991,2,0,1.3107822410147991,7,0,2.6215644820295982,7,0,order_random,0.1304249999999998
115,23,41,160,1.391304347826087,2,0,1.391304347826087,7,0,2.782608695652174,7,1,order_random,0.0117601
187,42,74,245,1.3101604278074863,2,0,1.3101604278074863,8,0,2.620320855614973,8,0,order_random,0.0242689999999994
226,46,80,302,1.336283185840708,2,0,1.336283185840708,6,0,2.672566371681416,6,0,order_random,0.0339169999999997
114,22,46,154,1.350877192982456,2,0,1.350877192982456,8,0,2.701754385964912,8,0,order_random,0.0117308999999998
334,64,112,451,1.3502994011976048,2,0,1.3502994011976048,7,0,2.7005988023952097,7,0,order_random,0.0661339000000005
448,106,152,601,1.3415178571428572,2,0,1.3415178571428572,9,0,2.6830357142857144,9,0,order_random,0.1462339999999997
142,30,53,184,1.295774647887324,2,0,1.295774647887324,10,0,2.591549295774648,10,0,order_random,0.0182394999999999
128,26,54,177,1.3828125,2,0,1.3828125,9,0,2.765625,9,0,order_random,0.0145143
493,105,164,662,1.3427991886409736,2,0,1.3427991886409736,9,0,2.685598377281947,9,0,order_random,0.1588829
119,27,46,153,1.2857142857142858,2,0,1.2857142857142858,7,0,2.571428571428572,7,1,order_random,0.0127934000000005
412,89,142,548,1.3300970873786409,2,0,1.3300970873786409,7,0,2.6601941747572817,7,0,order_random,0.1177133999999995
4,1,1,5,1.25,2,0,1.25,3,0,2.5,3,2,order_random,0.0002770000000005
326,72,117,441,1.352760736196319,2,0,1.352760736196319,7,0,2.705521472392638,7,0,order_random,0.0971851999999993
373,85,132,494,1.324396782841823,2,0,1.324396782841823,9,0,2.648793565683646,9,0,order_random,0.0976604999999999
351,90,129,445,1.2678062678062678,2,0,1.2678062678062678,9,0,2.535612535612536,9,0,order_random,0.08976
321,72,117,434,1.35202492211838,2,0,1.35202492211838,7,0,2.70404984423676,7,0,order_random,0.0728213999999995
314,72,122,410,1.305732484076433,2,0,1.305732484076433,8,0,2.611464968152866,8,0,order_random,0.0614179000000003
331,80,121,435,1.3141993957703928,2,0,1.3141993957703928,7,0,2.6283987915407856,7,0,order_random,0.0663926999999997
35,7,12,45,1.2857142857142858,2,0,1.2857142857142858,7,0,2.571428571428572,7,1,order_random,0.0019004000000002
23,3,8,33,1.434782608695652,2,0,1.434782608695652,5,0,2.869565217391304,5,1,order_random,0.0014042999999999
438,108,154,570,1.3013698630136987,2,0,1.3013698630136987,8,0,2.602739726027397,8,0,order_random,0.1103563000000003
382,93,126,485,1.2696335078534031,2,0,1.2696335078534031,7,0,2.5392670157068062,7,0,order_random,0.0884282
247,61,89,313,1.2672064777327936,2,0,1.2672064777327936,8,0,2.534412955465587,8,0,order_random,0.0389473000000002
73,12,26,98,1.3424657534246576,2,0,1.3424657534246576,7,0,2.684931506849315,7,0,order_random,0.0098705000000007
437,94,149,582,1.331807780320366,2,0,1.331807780320366,9,0,2.663615560640732,9,0,order_random,0.1276510999999995
15,2,5,21,1.4,2,0,1.4,5,0,2.8,5,1,order_random,0.0012004000000001
148,34,57,190,1.2837837837837838,2,0,1.2837837837837838,7,0,2.5675675675675675,7,0,order_random,0.0182077000000004
356,72,130,493,1.3848314606741574,2,0,1.3848314606741574,8,0,2.769662921348315,8,0,order_random,0.0932923999999992
84,15,28,120,1.4285714285714286,2,0,1.4285714285714286,6,0,2.857142857142857,6,1,order_random,0.0087125999999999
14,4,6,17,1.2142857142857142,2,0,1.2142857142857142,5,0,2.4285714285714284,5,1,order_random,0.0033674000000001
15,4,7,18,1.2,2,0,1.2,6,0,2.4,6,1,order_random,0.0009506000000003
268,55,96,345,1.287313432835821,2,0,1.287313432835821,7,0,2.574626865671642,7,1,order_random,0.0508104999999998
387,70,134,532,1.3746770025839794,2,0,1.3746770025839794,7,0,2.749354005167959,7,0,order_random,0.1095110000000003
355,84,133,458,1.2901408450704226,2,0,1.2901408450704226,7,0,2.580281690140845,7,0,order_random,0.0759856999999994
15,4,4,18,1.2,2,0,1.2,3,0,2.4,3,1,order_random,0.0009376999999997
291,69,105,380,1.3058419243986257,2,0,1.3058419243986257,7,0,2.611683848797251,7,0,order_random,0.0502385999999992
254,59,88,333,1.311023622047244,2,0,1.311023622047244,9,0,2.622047244094488,9,0,order_random,0.0432392999999997
246,60,89,317,1.2886178861788615,2,0,1.2886178861788615,7,0,2.5772357723577235,7,0,order_random,0.0451945
25,4,7,33,1.32,2,0,1.32,6,0,2.64,6,1,order_random,0.0016047999999999
368,83,136,477,1.296195652173913,2,0,1.296195652173913,9,0,2.592391304347826,9,0,order_random,0.0922589
94,15,29,136,1.446808510638298,2,0,1.446808510638298,6,0,2.893617021276596,6,1,order_random,0.0083359999999998
169,40,64,218,1.2899408284023668,2,0,1.2899408284023668,7,0,2.5798816568047336,7,0,order_random,0.0251729999999996
120,32,42,151,1.2583333333333333,2,0,1.2583333333333333,6,0,2.5166666666666666,6,1,order_random,0.0119379999999997
133,26,47,180,1.3533834586466165,2,0,1.3533834586466165,9,0,2.706766917293233,9,0,order_random,0.0150832999999996
446,98,162,582,1.304932735426009,2,0,1.304932735426009,8,0,2.609865470852018,8,0,order_random,0.1552937000000005
405,90,138,541,1.3358024691358024,2,0,1.3358024691358024,8,0,2.6716049382716047,8,1,order_random,0.11409
92,21,31,123,1.3369565217391304,2,0,1.3369565217391304,6,0,2.6739130434782608,6,0,order_random,0.0108192999999996
431,89,159,593,1.3758700696055683,2,0,1.3758700696055683,8,0,2.7517401392111367,8,0,order_random,0.1520659000000002
